"Neighbourhood","Neighbourhood Id","Combined Indicators","Total Population","Total Area"
"Rockcliffe-Smythe",111.0,"N/A",22270.0,5.1
"Beechborough-Greenbrook",112.0,"N/A",6490.0,1.8
"Weston",113.0,"N/A",18170.0,2.6
"Lambton Baby Point",114.0,"N/A",7920.0,1.7
"Mount Dennis",115.0,"N/A",13150.0,2.1
"Steeles",116.0,"N/A",25010.0,4.6
"L'Amoreaux",117.0,"N/A",44915.0,7.1
"Tam O'Shanter-Sullivan",118.0,"N/A",27390.0,5.5
"Wexford/Maryvale",119.0,"N/A",27020.0,10.2
"Clairlea-Birchmount",120.0,"N/A",24775.0,7.4
"Oakridge",121.0,"N/A",13505.0,1.8
"Birchcliffe-Cliffside",122.0,"N/A",21860.0,6.0
"Cliffcrest",123.0,"N/A",15700.0,7.1
"Kennedy Park",124.0,"N/A",17050.0,3.6
"Ionview",125.0,"N/A",13095.0,2.0
"Dorset Park",126.0,"N/A",24360.0,6.0
"Bendale",127.0,"N/A",27870.0,7.4
"Agincourt South-Malvern West",128.0,"N/A",21990.0,7.9
"Agincourt North",129.0,"N/A",30280.0,7.3
"Milliken",130.0,"N/A",27160.0,9.4
"Rouge",131.0,"N/A",45905.0,37.6
"Malvern",132.0,"N/A",45085.0,8.9
"Centennial Scarborough",133.0,"N/A",13100.0,5.4
"Highland Creek",134.0,"N/A",13100.0,5.1
"Morningside",135.0,"N/A",17585.0,5.6
"West Hill",136.0,"N/A",26550.0,9.6
"Woburn",137.0,"N/A",53350.0,12.2
"Eglinton East",138.0,"N/A",22830.0,3.2
"Scarborough Village",139.0,"N/A",16615.0,3.1
"Guildwood",140.0,"N/A",9815.0,3.8
