"Neighbourhood","Neighbourhood Id","Combined Indicators","Green Rebate Programs","Tree Cover","Green Spaces","City Green Retrofits","Polluting Facilities"
"Moss Park",73.0,"N/A",92.0,212564.13734,0.09855,3.0,2.0
"North St.James Town",74.0,"N/A",19.0,61616.244972,0.01239,1.0,0.0
"Church-Yonge Corridor",75.0,"N/A",160.0,118541.424307,0.07975,3.0,5.0
"Bay Street Corridor",76.0,"N/A",135.0,139974.860655,0.14964,3.0,20.0
"Waterfront Communities-The Island",77.0,"N/A",204.0,1379860.874532,2.34492,8.0,12.0
"Kensington-Chinatown",78.0,"N/A",87.0,186615.157454,0.06555,7.0,1.0
"University",79.0,"N/A",68.0,237726.295525,0.00578,0.0,0.0
"Palmerston-Little Italy",80.0,"N/A",139.0,291292.525801,0.03872,1.0,0.0
"Trinity-Bellwoods",81.0,"N/A",168.0,239145.529421,0.17864,2.0,0.0
"Niagara",82.0,"N/A",103.0,282844.000868,0.36977,3.0,4.0
"Dufferin Grove",83.0,"N/A",94.0,250633.621254,0.06932,2.0,3.0
"Little Portugal",84.0,"N/A",121.0,115638.816354,0.01653,1.0,1.0
"South Parkdale",85.0,"N/A",51.0,364045.756423,0.46073,2.0,2.0
"Roncesvalles",86.0,"N/A",185.0,317461.894519,0.03882,2.0,0.0
"High Park-Swansea",87.0,"N/A",265.0,2750624.560227,2.09374,5.0,0.0
"High Park North",88.0,"N/A",187.0,716638.99169,0.05748,3.0,1.0
"Runnymede-Bloor West Village",89.0,"N/A",169.0,530461.191848,0.01162,3.0,0.0
"Junction Area",90.0,"N/A",158.0,477509.285445,0.09583,3.0,9.0
"Weston-Pellam Park",91.0,"N/A",103.0,160318.637796,0.03216,1.0,2.0
"Corso Italia-Davenport",92.0,"N/A",140.0,336321.810579,0.12632,4.0,0.0
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",364.0,409561.299977,0.21885,6.0,4.0
"Wychwood",94.0,"N/A",143.0,455742.719348,0.04888,2.0,0.0
"Annex",95.0,"N/A",270.0,789795.1516,0.11379,7.0,1.0
