"Neighbourhood","Neighbourhood Id","Combined Indicators","Female Fertility","Premature Mortality","Student Nutrition","Health Providers","Community Food Programs","Colorectal Cancer Screenings","Breast Cancer Screenings","Cervical Cancer Screenings","Teen Pregnancy","Diabetes Prevalence","DineSafe Inspections"
"Clairlea-Birchmount",120.0,"N/A",47.674797,304.9889974,1575.0,13.0,2.0,40.1,60.2,64.1,36.63663663663663,11.8,8.0
"Oakridge",121.0,"N/A",65.487525,308.557674,775.0,6.0,5.0,35.6,52.6,70.9,39.66244725738397,13.5,0.0
"Birchcliffe-Cliffside",122.0,"N/A",40.511859,332.52724,400.0,23.0,5.0,41.2,61.1,69.1,32.20338983050847,9.6,0.0
"Cliffcrest",123.0,"N/A",44.760551,278.5788156,245.0,9.0,2.0,37.3,59.4,67.4,33.00330033003301,10.2,0.0
"Kennedy Park",124.0,"N/A",51.95861,259.9570901,1190.0,15.0,1.0,37.2,55.4,59.1,46.864686468646866,14.3,12.0
"Ionview",125.0,"N/A",54.99533,268.985372,400.0,20.0,2.0,36.0,52.7,58.8,47.111111111111114,13.7,4.0
"Dorset Park",126.0,"N/A",59.374191,230.6724335,875.0,33.0,4.0,38.0,55.8,60.9,31.52454780361757,14.4,7.0
"Bendale",127.0,"N/A",49.490993,225.8634671,1385.0,80.0,4.0,40.3,56.8,62.3,45.59139784946237,12.6,8.0
"Agincourt South-Malvern West",128.0,"N/A",46.294654,150.1378619,400.0,79.0,0.0,44.6,59.9,63.2,20.33096926713948,11.6,9.0
"Agincourt North",129.0,"N/A",40.243644,138.6693546,327.0,17.0,0.0,48.5,61.3,62.4,15.566835871404399,11.6,7.0
"Milliken",130.0,"N/A",38.884952,133.7781732,150.0,124.0,0.0,50.3,62.5,63.0,16.962524654832347,11.6,14.0
"Rouge",131.0,"N/A",35.910579,167.0294606,0.0,16.0,4.0,44.9,63.6,67.6,22.58064516129032,14.8,3.0
"Malvern",132.0,"N/A",53.43806,182.1702473,1814.0,73.0,2.0,41.6,58.4,63.4,42.02020202020202,16.8,0.0
"Centennial Scarborough",133.0,"N/A",32.893287,199.0819858,0.0,5.0,0.0,46.5,68.6,72.8,19.78021978021978,10.3,0.0
"Highland Creek",134.0,"N/A",35.162601,165.6685105,0.0,8.0,2.0,44.3,64.9,65.8,13.194444444444445,13.7,2.0
"Morningside",135.0,"N/A",51.77703,194.0775003,1240.0,30.0,4.0,39.0,56.8,62.3,33.85416666666667,14.3,0.0
"West Hill",136.0,"N/A",48.014076,277.8899134,1540.0,28.0,5.0,38.9,55.0,63.4,55.12104283054004,13.3,2.0
"Woburn",137.0,"N/A",56.722587,226.4931093,6172.0,90.0,5.0,39.4,55.0,60.4,40.30501089324619,13.6,33.0
"Eglinton East",138.0,"N/A",55.619995,245.1720728,935.0,22.0,0.0,36.2,55.0,60.3,36.888888888888886,14.6,2.0
"Scarborough Village",139.0,"N/A",48.911224,234.6614093,2047.0,25.0,4.0,35.7,53.0,60.6,38.36477987421384,14.6,3.0
"Guildwood",140.0,"N/A",35.176651,224.6089474,150.0,6.0,2.0,38.4,61.3,67.8,16.666666666666668,8.7,0.0
