"Neighbourhood","Neighbourhood Id","Combined Indicators","Visible Minority Category","   Chinese","   South Asian","   Black","   Filipino","   Latin American","   Southeast Asian","   Arab","   West Asian","   Korean","   Japanese","   Other Visible Minority","   Multiple Visible Minority","   Not a Visible Minority","Aboriginal"
"Runnymede-Bloor West Village",89.0,"N/A",9555.0,285.0,65.0,125.0,205.0,120.0,80.0,65.0,0.0,55.0,50.0,30.0,35.0,8425.0,200.0
"Junction Area",90.0,"N/A",13040.0,545.0,525.0,715.0,450.0,495.0,580.0,0.0,40.0,130.0,20.0,65.0,185.0,9280.0,110.0
"Weston-Pellam Park",91.0,"N/A",12095.0,470.0,605.0,1615.0,130.0,770.0,420.0,65.0,60.0,45.0,0.0,95.0,225.0,7590.0,95.0
"Corso Italia-Davenport",92.0,"N/A",14330.0,310.0,335.0,685.0,275.0,1260.0,170.0,25.0,20.0,30.0,85.0,100.0,130.0,10895.0,60.0
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",34615.0,2940.0,2590.0,2510.0,525.0,1745.0,870.0,170.0,90.0,140.0,185.0,450.0,590.0,21775.0,210.0
"Wychwood",94.0,"N/A",13415.0,1000.0,185.0,890.0,425.0,570.0,240.0,15.0,15.0,165.0,85.0,100.0,125.0,9590.0,150.0
"Annex",95.0,"N/A",26445.0,1695.0,660.0,795.0,245.0,425.0,145.0,220.0,185.0,420.0,285.0,60.0,270.0,21005.0,235.0
"Casa Loma",96.0,"N/A",9785.0,305.0,120.0,160.0,155.0,150.0,65.0,40.0,105.0,160.0,40.0,0.0,85.0,8365.0,25.0
"Yonge-St.Clair",97.0,"N/A",11230.0,275.0,310.0,235.0,75.0,170.0,30.0,60.0,95.0,55.0,70.0,15.0,35.0,9790.0,50.0
"Rosedale-Moore Park",98.0,"N/A",20320.0,840.0,335.0,400.0,195.0,305.0,75.0,75.0,140.0,100.0,135.0,20.0,100.0,17555.0,70.0
"Mount Pleasant East",99.0,"N/A",15210.0,590.0,340.0,215.0,125.0,125.0,0.0,75.0,115.0,50.0,45.0,20.0,145.0,13350.0,150.0
"Yonge-Eglinton",100.0,"N/A",10485.0,470.0,160.0,170.0,60.0,120.0,35.0,70.0,25.0,215.0,110.0,25.0,110.0,8915.0,35.0
"Forest Hill South",101.0,"N/A",10650.0,305.0,125.0,215.0,215.0,65.0,10.0,10.0,45.0,90.0,60.0,0.0,10.0,9460.0,15.0
"Forest Hill North",102.0,"N/A",12280.0,245.0,200.0,400.0,580.0,285.0,90.0,70.0,30.0,190.0,35.0,65.0,50.0,10015.0,30.0
"Lawrence Park South",103.0,"N/A",14820.0,370.0,90.0,85.0,265.0,120.0,35.0,20.0,60.0,170.0,70.0,10.0,55.0,13485.0,75.0
"Mount Pleasant West",104.0,"N/A",23545.0,1035.0,1040.0,1130.0,900.0,500.0,20.0,170.0,745.0,400.0,250.0,125.0,295.0,16905.0,145.0
"Lawrence Park North",105.0,"N/A",13690.0,675.0,265.0,100.0,120.0,45.0,25.0,25.0,95.0,115.0,55.0,15.0,65.0,12050.0,35.0
"Humewood-Cedarvale",106.0,"N/A",13855.0,335.0,260.0,800.0,1320.0,665.0,55.0,30.0,25.0,75.0,120.0,120.0,135.0,9910.0,60.0
"Oakwood Village",107.0,"N/A",21435.0,745.0,475.0,3220.0,1800.0,1285.0,330.0,40.0,60.0,150.0,85.0,145.0,375.0,12710.0,150.0
"Briar Hill-Belgravia",108.0,"N/A",14195.0,480.0,425.0,1455.0,1765.0,850.0,290.0,50.0,140.0,55.0,10.0,160.0,150.0,8380.0,85.0
"Caledonia-Fairbank",109.0,"N/A",10250.0,130.0,330.0,1085.0,560.0,990.0,265.0,35.0,40.0,0.0,40.0,45.0,75.0,6645.0,40.0
"Keelesdale-Eglinton West",110.0,"N/A",11200.0,240.0,590.0,1080.0,520.0,680.0,460.0,0.0,30.0,15.0,15.0,115.0,80.0,7355.0,120.0
"Rockcliffe-Smythe",111.0,"N/A",22385.0,535.0,1530.0,3015.0,750.0,2165.0,1190.0,95.0,195.0,110.0,70.0,410.0,470.0,11835.0,215.0
"Beechborough-Greenbrook",112.0,"N/A",6285.0,75.0,335.0,1780.0,335.0,380.0,145.0,20.0,10.0,0.0,0.0,155.0,75.0,2965.0,45.0
"Weston",113.0,"N/A",16240.0,245.0,1060.0,4115.0,165.0,1450.0,480.0,105.0,250.0,55.0,60.0,105.0,180.0,7940.0,230.0
"Lambton Baby Point",114.0,"N/A",7785.0,115.0,135.0,795.0,55.0,220.0,70.0,60.0,20.0,45.0,35.0,20.0,45.0,6155.0,35.0
"Mount Dennis",115.0,"N/A",12635.0,280.0,715.0,3875.0,595.0,1260.0,445.0,120.0,145.0,295.0,15.0,235.0,240.0,4385.0,125.0
"Steeles",116.0,"N/A",24450.0,16705.0,1895.0,660.0,755.0,50.0,95.0,360.0,115.0,140.0,55.0,50.0,390.0,3205.0,10.0
"L'Amoreaux",117.0,"N/A",45825.0,16455.0,8285.0,3875.0,1905.0,385.0,635.0,985.0,930.0,205.0,245.0,285.0,700.0,10905.0,65.0
"Tam O'Shanter-Sullivan",118.0,"N/A",26835.0,9615.0,3840.0,1615.0,1135.0,245.0,95.0,440.0,515.0,345.0,140.0,210.0,465.0,8140.0,45.0
"Wexford/Maryvale",119.0,"N/A",26445.0,1635.0,3185.0,1820.0,2770.0,405.0,230.0,490.0,375.0,180.0,130.0,405.0,380.0,14395.0,190.0
"Clairlea-Birchmount",120.0,"N/A",19565.0,1730.0,3150.0,1540.0,1695.0,380.0,130.0,170.0,310.0,30.0,120.0,205.0,165.0,9920.0,125.0
"Oakridge",121.0,"N/A",13360.0,1070.0,4180.0,2040.0,1005.0,310.0,160.0,105.0,405.0,70.0,15.0,95.0,245.0,3655.0,95.0
"Birchcliffe-Cliffside",122.0,"N/A",21310.0,1185.0,660.0,890.0,410.0,290.0,215.0,40.0,55.0,225.0,135.0,55.0,240.0,16895.0,230.0
"Cliffcrest",123.0,"N/A",14500.0,450.0,1285.0,685.0,485.0,220.0,50.0,80.0,220.0,95.0,70.0,140.0,105.0,10590.0,145.0
"Kennedy Park",124.0,"N/A",16920.0,1525.0,3180.0,2400.0,2080.0,230.0,150.0,75.0,345.0,45.0,85.0,295.0,510.0,5955.0,160.0
"Ionview",125.0,"N/A",13015.0,1515.0,2365.0,1550.0,1970.0,220.0,115.0,145.0,70.0,25.0,35.0,250.0,340.0,4405.0,95.0
"Dorset Park",126.0,"N/A",23745.0,3365.0,7475.0,1840.0,1475.0,270.0,270.0,740.0,480.0,140.0,50.0,395.0,615.0,6650.0,70.0
"Bendale",127.0,"N/A",24815.0,3295.0,5020.0,1510.0,1450.0,470.0,255.0,375.0,745.0,140.0,115.0,545.0,550.0,10345.0,85.0
"Agincourt South-Malvern West",128.0,"N/A",21475.0,9810.0,3170.0,1320.0,740.0,200.0,290.0,350.0,220.0,90.0,40.0,170.0,380.0,4685.0,20.0
"Agincourt North",129.0,"N/A",29980.0,16565.0,5160.0,1530.0,1355.0,230.0,230.0,370.0,75.0,155.0,135.0,195.0,440.0,3530.0,55.0
"Milliken",130.0,"N/A",26150.0,16790.0,3780.0,1365.0,1145.0,125.0,290.0,170.0,135.0,20.0,60.0,185.0,435.0,1580.0,10.0
"Rouge",131.0,"N/A",42815.0,2610.0,14540.0,6805.0,4255.0,290.0,525.0,275.0,445.0,175.0,55.0,1220.0,1210.0,10385.0,180.0
"Malvern",132.0,"N/A",44280.0,3780.0,17305.0,8730.0,3905.0,400.0,480.0,220.0,750.0,115.0,55.0,1485.0,1095.0,5940.0,195.0
"Centennial Scarborough",133.0,"N/A",12320.0,420.0,1615.0,970.0,620.0,80.0,55.0,30.0,55.0,105.0,105.0,70.0,140.0,8035.0,80.0
"Highland Creek",134.0,"N/A",12835.0,940.0,4060.0,1555.0,1025.0,0.0,255.0,35.0,110.0,30.0,45.0,310.0,130.0,4335.0,50.0
"Morningside",135.0,"N/A",16930.0,700.0,5375.0,2630.0,1300.0,200.0,255.0,105.0,445.0,80.0,50.0,215.0,375.0,5200.0,40.0
"West Hill",136.0,"N/A",25345.0,660.0,3925.0,5055.0,1540.0,325.0,260.0,210.0,575.0,105.0,65.0,645.0,615.0,11360.0,265.0
"Woburn",137.0,"N/A",52310.0,4620.0,17920.0,5070.0,3305.0,725.0,640.0,415.0,1130.0,190.0,215.0,905.0,650.0,16495.0,280.0
"Eglinton East",138.0,"N/A",22190.0,1200.0,5925.0,3560.0,2290.0,330.0,230.0,170.0,400.0,50.0,95.0,480.0,485.0,6960.0,110.0
"Scarborough Village",139.0,"N/A",15460.0,420.0,4830.0,2400.0,695.0,285.0,130.0,55.0,545.0,45.0,145.0,380.0,195.0,5320.0,75.0
"Guildwood",140.0,"N/A",9770.0,320.0,525.0,620.0,155.0,50.0,30.0,40.0,130.0,50.0,55.0,70.0,145.0,7585.0,50.0
