"Neighbourhood","Neighbourhood Id","Combined Indicators","Seniors Living Alone","Total Tenants","High Shelter Costs","Owned Dwellings","Rented Dwellings","Home Repairs Needed","Tenant Average Rent","Average Family Income","Pre-Tax Household Income","After-Tax Household Income"
"Forest Hill South",101.0,"N/A",705.0,2165.0,1370.0,2605.0,2170.0,375.0,1130.0,260240.0,90830.0,91114.0
"Forest Hill North",102.0,"N/A",740.0,3605.0,1900.0,1770.0,3600.0,445.0,1065.0,118415.0,56970.0,59933.0
"Lawrence Park South",103.0,"N/A",460.0,1520.0,1245.0,4055.0,1520.0,370.0,1135.0,241210.0,129320.0,147629.0
"Mount Pleasant West",104.0,"N/A",1590.0,11900.0,5745.0,2840.0,11900.0,830.0,1005.0,69830.0,49650.0,49576.0
"Lawrence Park North",105.0,"N/A",510.0,1400.0,1200.0,4035.0,1395.0,280.0,1140.0,138010.0,100100.0,101055.0
"Humewood-Cedarvale",106.0,"N/A",465.0,3995.0,2475.0,2345.0,4000.0,635.0,895.0,92465.0,52590.0,55822.0
"Oakwood Village",107.0,"N/A",1115.0,3945.0,3465.0,4700.0,3945.0,790.0,860.0,59135.0,44925.0,45550.0
"Briar Hill-Belgravia",108.0,"N/A",470.0,2880.0,2105.0,2800.0,2880.0,515.0,885.0,56895.0,47975.0,49911.0
"Caledonia-Fairbank",109.0,"N/A",300.0,1120.0,1390.0,2430.0,1115.0,430.0,890.0,57890.0,51865.0,53238.0
"Keelesdale-Eglinton West",110.0,"N/A",445.0,1325.0,1440.0,2785.0,1320.0,340.0,790.0,57115.0,45650.0,44183.0
"Rockcliffe-Smythe",111.0,"N/A",1220.0,3700.0,3275.0,5075.0,3690.0,965.0,745.0,55290.0,45515.0,45558.0
"Beechborough-Greenbrook",112.0,"N/A",190.0,1625.0,930.0,885.0,1625.0,240.0,760.0,48790.0,38620.0,38714.0
"Weston",113.0,"N/A",810.0,4355.0,3205.0,2645.0,4360.0,740.0,780.0,52470.0,39300.0,42670.0
"Lambton Baby Point",114.0,"N/A",325.0,1325.0,820.0,1825.0,1325.0,290.0,765.0,128455.0,66140.0,65308.0
"Mount Dennis",115.0,"N/A",315.0,2210.0,2170.0,2385.0,2215.0,430.0,850.0,48400.0,41060.0,40338.0
"Steeles",116.0,"N/A",440.0,1265.0,2735.0,6295.0,1265.0,355.0,1070.0,61945.0,57365.0,57840.0
"L'Amoreaux",117.0,"N/A",1625.0,5215.0,5730.0,9870.0,5215.0,1035.0,855.0,58125.0,51035.0,51680.0
"Tam O'Shanter-Sullivan",118.0,"N/A",1210.0,4165.0,3755.0,5305.0,4165.0,590.0,890.0,58055.0,49210.0,53925.0
"Wexford/Maryvale",119.0,"N/A",1080.0,3695.0,3255.0,6175.0,3700.0,700.0,840.0,61135.0,51070.0,52002.0
"Clairlea-Birchmount",120.0,"N/A",470.0,2600.0,2285.0,4525.0,2595.0,480.0,835.0,60535.0,52060.0,55767.0
"Oakridge",121.0,"N/A",480.0,3630.0,2275.0,1535.0,3625.0,615.0,700.0,41460.0,31365.0,32144.0
"Birchcliffe-Cliffside",122.0,"N/A",970.0,2940.0,2815.0,6115.0,2935.0,735.0,785.0,76745.0,58715.0,56567.0
"Cliffcrest",123.0,"N/A",665.0,1780.0,1635.0,3700.0,1780.0,445.0,810.0,72775.0,62770.0,66984.0
"Kennedy Park",124.0,"N/A",540.0,2860.0,2385.0,3550.0,2865.0,545.0,665.0,51035.0,41130.0,42202.0
"Ionview",125.0,"N/A",425.0,2930.0,1935.0,2015.0,2935.0,505.0,835.0,51525.0,44090.0,44053.0
"Dorset Park",126.0,"N/A",635.0,3115.0,3340.0,5190.0,3115.0,555.0,865.0,52595.0,46485.0,47785.0
"Bendale",127.0,"N/A",930.0,2890.0,3065.0,6175.0,2890.0,575.0,900.0,60060.0,51995.0,52864.0
"Agincourt South-Malvern West",128.0,"N/A",460.0,1775.0,2450.0,4950.0,1780.0,365.0,925.0,61350.0,55040.0,55811.0
"Agincourt North",129.0,"N/A",395.0,1605.0,3160.0,7105.0,1605.0,330.0,1025.0,61450.0,58095.0,58886.0
"Milliken",130.0,"N/A",240.0,1025.0,2760.0,6345.0,1025.0,280.0,885.0,61955.0,60350.0,59715.0
"Rouge",131.0,"N/A",340.0,1640.0,4130.0,10635.0,1640.0,380.0,990.0,76510.0,76945.0,78883.0
"Malvern",132.0,"N/A",405.0,3660.0,5275.0,9045.0,3650.0,760.0,925.0,59120.0,56610.0,56895.0
"Centennial Scarborough",133.0,"N/A",135.0,240.0,755.0,3680.0,245.0,210.0,900.0,96400.0,99375.0,99972.0
"Highland Creek",134.0,"N/A",115.0,225.0,950.0,3335.0,225.0,180.0,1070.0,83570.0,86850.0,86417.0
"Morningside",135.0,"N/A",290.0,2015.0,2080.0,3595.0,2010.0,425.0,820.0,60155.0,54590.0,55939.0
"West Hill",136.0,"N/A",970.0,3760.0,3385.0,5585.0,3760.0,885.0,640.0,58370.0,46740.0,49341.0
"Woburn",137.0,"N/A",1655.0,8210.0,6500.0,9865.0,8200.0,1290.0,825.0,55710.0,49305.0,51539.0
"Eglinton East",138.0,"N/A",575.0,4275.0,3185.0,3590.0,4285.0,650.0,835.0,51465.0,43935.0,44772.0
"Scarborough Village",139.0,"N/A",540.0,3010.0,2395.0,2405.0,3015.0,650.0,795.0,54995.0,42415.0,45109.0
"Guildwood",140.0,"N/A",505.0,820.0,895.0,3060.0,820.0,185.0,1060.0,78460.0,75025.0,75351.0
