"Neighbourhood","Neighbourhood Id","Combined Indicators","Home Language Category","   Language - French","   Language - Chinese","   Language - Tamil","   Language - Italian","   Language - Spanish","   Language - Portuguese","   Language - Tagalog","   Language - Urdu","   Language - Russian","   Language - Persian (Farsi)","   Language - Korean"
"Bay Street Corridor",76.0,"N/A",18720.0,200.0,3220.0,70.0,155.0,390.0,165.0,175.0,220.0,265.0,495.0,815.0
"Waterfront Communities-The Island",77.0,"N/A",41720.0,550.0,3730.0,120.0,365.0,1010.0,350.0,475.0,290.0,645.0,640.0,615.0
"Kensington-Chinatown",78.0,"N/A",17685.0,125.0,6070.0,15.0,65.0,325.0,340.0,190.0,60.0,95.0,125.0,180.0
"University",79.0,"N/A",7175.0,70.0,925.0,20.0,95.0,160.0,330.0,40.0,20.0,60.0,45.0,175.0
"Palmerston-Little Italy",80.0,"N/A",13380.0,95.0,895.0,0.0,815.0,375.0,1195.0,55.0,35.0,55.0,40.0,125.0
"Trinity-Bellwoods",81.0,"N/A",16080.0,85.0,3115.0,5.0,540.0,190.0,2885.0,60.0,15.0,30.0,30.0,30.0
"Niagara",82.0,"N/A",20125.0,205.0,1035.0,25.0,215.0,565.0,725.0,230.0,60.0,195.0,160.0,165.0
"Dufferin Grove",83.0,"N/A",11115.0,95.0,690.0,65.0,215.0,550.0,1955.0,110.0,80.0,70.0,15.0,180.0
"Little Portugal",84.0,"N/A",11680.0,55.0,945.0,10.0,170.0,260.0,3085.0,65.0,5.0,45.0,30.0,35.0
"South Parkdale",85.0,"N/A",19440.0,100.0,505.0,380.0,85.0,535.0,300.0,820.0,60.0,165.0,105.0,80.0
"Roncesvalles",86.0,"N/A",14620.0,130.0,555.0,160.0,115.0,200.0,505.0,145.0,35.0,90.0,20.0,65.0
"High Park-Swansea",87.0,"N/A",20850.0,200.0,320.0,5.0,210.0,355.0,210.0,120.0,30.0,385.0,90.0,130.0
"High Park North",88.0,"N/A",20700.0,245.0,590.0,75.0,195.0,605.0,325.0,170.0,45.0,930.0,165.0,420.0
"Runnymede-Bloor West Village",89.0,"N/A",9420.0,80.0,190.0,5.0,165.0,140.0,115.0,70.0,10.0,50.0,15.0,40.0
"Junction Area",90.0,"N/A",13355.0,100.0,565.0,25.0,175.0,500.0,780.0,290.0,35.0,105.0,25.0,65.0
"Weston-Pellam Park",91.0,"N/A",11475.0,80.0,310.0,30.0,665.0,860.0,2770.0,130.0,20.0,25.0,10.0,15.0
"Corso Italia-Davenport",92.0,"N/A",13180.0,75.0,295.0,10.0,1855.0,1040.0,3035.0,190.0,20.0,20.0,15.0,25.0
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",33270.0,220.0,2255.0,285.0,1260.0,1395.0,6535.0,345.0,145.0,160.0,70.0,230.0
"Wychwood",94.0,"N/A",12855.0,150.0,630.0,15.0,555.0,540.0,795.0,205.0,0.0,85.0,50.0,105.0
"Annex",95.0,"N/A",27380.0,285.0,1370.0,30.0,520.0,555.0,355.0,135.0,90.0,315.0,270.0,375.0
"Casa Loma",96.0,"N/A",10255.0,90.0,255.0,5.0,125.0,220.0,70.0,145.0,10.0,140.0,50.0,35.0
"Yonge-St.Clair",97.0,"N/A",11445.0,100.0,250.0,10.0,120.0,230.0,55.0,95.0,10.0,180.0,120.0,55.0
"Rosedale-Moore Park",98.0,"N/A",20250.0,175.0,515.0,5.0,160.0,310.0,80.0,185.0,40.0,185.0,180.0,150.0
