"Neighbourhood","Neighbourhood Id","Combined Indicators","Recent Immigrants","Recent Immigrants Category","   Caribbean/Central/S. America","   Europe","   Africa","   West Asia/Middle East","   Eastern Asia","   South East Asia","   Southern Asia"
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",2625.0,2610.0,610.0,360.0,340.0,110.0,390.0,180.0,510.0
"Wychwood",94.0,"N/A",585.0,575.0,150.0,175.0,20.0,25.0,75.0,100.0,15.0
"Annex",95.0,"N/A",1260.0,1250.0,230.0,355.0,85.0,155.0,210.0,60.0,45.0
"Casa Loma",96.0,"N/A",480.0,475.0,65.0,130.0,40.0,40.0,90.0,35.0,30.0
"Yonge-St.Clair",97.0,"N/A",635.0,630.0,60.0,235.0,90.0,80.0,65.0,0.0,45.0
"Rosedale-Moore Park",98.0,"N/A",855.0,855.0,120.0,250.0,40.0,80.0,145.0,55.0,60.0
"Mount Pleasant East",99.0,"N/A",630.0,625.0,40.0,245.0,0.0,160.0,65.0,10.0,20.0
"Yonge-Eglinton",100.0,"N/A",385.0,390.0,75.0,110.0,15.0,20.0,75.0,15.0,0.0
"Forest Hill South",101.0,"N/A",415.0,410.0,30.0,145.0,20.0,10.0,40.0,65.0,30.0
"Forest Hill North",102.0,"N/A",1610.0,1610.0,195.0,765.0,30.0,140.0,120.0,240.0,85.0
"Lawrence Park South",103.0,"N/A",370.0,370.0,45.0,110.0,0.0,30.0,65.0,70.0,10.0
"Mount Pleasant West",104.0,"N/A",2795.0,2795.0,300.0,765.0,135.0,660.0,435.0,125.0,265.0
"Lawrence Park North",105.0,"N/A",220.0,215.0,10.0,70.0,0.0,10.0,55.0,10.0,10.0
"Humewood-Cedarvale",106.0,"N/A",1080.0,1080.0,145.0,295.0,85.0,35.0,45.0,375.0,45.0
"Oakwood Village",107.0,"N/A",1745.0,1745.0,580.0,315.0,200.0,80.0,115.0,425.0,15.0
"Briar Hill-Belgravia",108.0,"N/A",1940.0,1930.0,315.0,760.0,45.0,215.0,115.0,410.0,50.0
"Caledonia-Fairbank",109.0,"N/A",780.0,780.0,340.0,160.0,30.0,55.0,20.0,125.0,45.0
"Keelesdale-Eglinton West",110.0,"N/A",490.0,485.0,135.0,105.0,40.0,10.0,20.0,145.0,30.0
"Rockcliffe-Smythe",111.0,"N/A",1530.0,1525.0,375.0,330.0,165.0,60.0,10.0,275.0,260.0
"Beechborough-Greenbrook",112.0,"N/A",410.0,405.0,175.0,45.0,55.0,10.0,10.0,75.0,15.0
