"Neighbourhood","Neighbourhood Id","Combined Indicators","   Not in Labour Force","   Unemployed","   In Labour Force","Labour Force Category","With Bachelor Degree or Higher","With College Certificate/Diploma","Less than grade 9"
"Ionview",125.0,"N/A",3910.0,670.0,6750.0,10650.0,130.0,930.0,635.0
"Dorset Park",126.0,"N/A",6690.0,1150.0,12265.0,18950.0,180.0,1845.0,970.0
"Bendale",127.0,"N/A",8350.0,1095.0,12315.0,20665.0,235.0,2115.0,1165.0
"Agincourt South-Malvern West",128.0,"N/A",7010.0,935.0,11045.0,18050.0,310.0,1920.0,1065.0
"Agincourt North",129.0,"N/A",9565.0,1375.0,15715.0,25280.0,425.0,3020.0,1295.0
"Milliken",130.0,"N/A",8125.0,1250.0,13810.0,21940.0,440.0,2675.0,1160.0
"Rouge",131.0,"N/A",9765.0,1930.0,24195.0,33960.0,585.0,4335.0,2305.0
"Malvern",132.0,"N/A",11090.0,2040.0,23290.0,34375.0,285.0,4270.0,2450.0
"Centennial Scarborough",133.0,"N/A",3270.0,505.0,6885.0,10160.0,160.0,1165.0,715.0
"Highland Creek",134.0,"N/A",3390.0,530.0,7430.0,10825.0,250.0,1600.0,600.0
"Morningside",135.0,"N/A",4925.0,800.0,8560.0,13485.0,130.0,1695.0,915.0
"West Hill",136.0,"N/A",7775.0,1035.0,12535.0,20320.0,150.0,2200.0,1460.0
"Woburn",137.0,"N/A",16410.0,2390.0,25160.0,41560.0,530.0,4190.0,2565.0
"Eglinton East",138.0,"N/A",6520.0,1140.0,10905.0,17430.0,90.0,1850.0,1215.0
"Scarborough Village",139.0,"N/A",4850.0,895.0,7170.0,12010.0,100.0,1330.0,920.0
"Guildwood",140.0,"N/A",3235.0,260.0,5045.0,8285.0,115.0,685.0,385.0
