"Neighbourhood","Neighbourhood Id","Combined Indicators","Recent Immigrants Category","   Southern Asia","   South East Asia","   Eastern Asia","   West Asia/Middle East","   Africa","   Europe","   Caribbean/Central/S. America"
"Danforth-East York",59.0,"N/A",425.0,0.0,30.0,20.0,0.0,45.0,130.0,65.0
"Woodbine-Lumsden",60.0,"N/A",150.0,10.0,0.0,0.0,0.0,0.0,20.0,25.0
"Taylor-Massey",61.0,"N/A",3165.0,1850.0,165.0,170.0,230.0,280.0,190.0,130.0
"East End-Danforth",62.0,"N/A",1080.0,295.0,225.0,30.0,0.0,105.0,215.0,65.0
"The Beaches",63.0,"N/A",505.0,0.0,40.0,20.0,0.0,0.0,230.0,35.0
"Woodbine Corridor",64.0,"N/A",255.0,30.0,0.0,50.0,0.0,0.0,30.0,35.0
"Greenwood-Coxwell",65.0,"N/A",535.0,195.0,35.0,95.0,0.0,35.0,80.0,50.0
"Danforth",66.0,"N/A",185.0,0.0,35.0,0.0,0.0,0.0,60.0,20.0
"Playter Estates-Danforth",67.0,"N/A",175.0,0.0,0.0,0.0,0.0,0.0,35.0,40.0
"North Riverdale",68.0,"N/A",255.0,0.0,15.0,100.0,0.0,0.0,70.0,15.0
"Blake-Jones",69.0,"N/A",375.0,95.0,0.0,125.0,25.0,0.0,50.0,20.0
"South Riverdale",70.0,"N/A",1185.0,55.0,55.0,675.0,0.0,60.0,100.0,30.0
"Cabbagetown-South St.James Town",71.0,"N/A",695.0,45.0,160.0,55.0,0.0,0.0,100.0,140.0
"Regent Park",72.0,"N/A",840.0,280.0,35.0,250.0,10.0,130.0,10.0,100.0
"Moss Park",73.0,"N/A",1075.0,165.0,30.0,10.0,105.0,200.0,165.0,130.0
"North St.James Town",74.0,"N/A",3320.0,1150.0,930.0,235.0,80.0,290.0,165.0,315.0
"Church-Yonge Corridor",75.0,"N/A",2120.0,305.0,205.0,310.0,220.0,200.0,355.0,260.0
"Bay Street Corridor",76.0,"N/A",2265.0,315.0,35.0,695.0,375.0,65.0,230.0,230.0
"Waterfront Communities-The Island",77.0,"N/A",3180.0,445.0,155.0,660.0,320.0,220.0,540.0,355.0
"Kensington-Chinatown",78.0,"N/A",1210.0,25.0,15.0,805.0,0.0,80.0,70.0,90.0
"University",79.0,"N/A",375.0,0.0,30.0,175.0,0.0,0.0,50.0,50.0
"Palmerston-Little Italy",80.0,"N/A",435.0,0.0,0.0,85.0,0.0,60.0,100.0,50.0
"Trinity-Bellwoods",81.0,"N/A",855.0,10.0,40.0,585.0,0.0,0.0,110.0,55.0
"Niagara",82.0,"N/A",900.0,55.0,30.0,130.0,30.0,65.0,255.0,135.0
"Dufferin Grove",83.0,"N/A",775.0,55.0,55.0,135.0,0.0,35.0,195.0,200.0
"Little Portugal",84.0,"N/A",215.0,0.0,0.0,25.0,0.0,0.0,40.0,95.0
"South Parkdale",85.0,"N/A",3005.0,1300.0,470.0,345.0,30.0,210.0,320.0,115.0
"Roncesvalles",86.0,"N/A",1095.0,240.0,0.0,70.0,0.0,40.0,475.0,65.0
"High Park-Swansea",87.0,"N/A",625.0,0.0,25.0,50.0,35.0,20.0,200.0,155.0
"High Park North",88.0,"N/A",1500.0,155.0,45.0,150.0,25.0,35.0,625.0,155.0
"Runnymede-Bloor West Village",89.0,"N/A",205.0,0.0,15.0,0.0,0.0,0.0,55.0,35.0
"Junction Area",90.0,"N/A",725.0,95.0,220.0,60.0,0.0,0.0,115.0,135.0
"Weston-Pellam Park",91.0,"N/A",610.0,0.0,55.0,0.0,0.0,55.0,190.0,245.0
"Corso Italia-Davenport",92.0,"N/A",655.0,0.0,55.0,0.0,0.0,30.0,105.0,410.0
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",1695.0,190.0,160.0,190.0,0.0,200.0,270.0,485.0
"Wychwood",94.0,"N/A",585.0,0.0,115.0,75.0,0.0,55.0,125.0,140.0
"Annex",95.0,"N/A",1345.0,30.0,40.0,225.0,205.0,70.0,255.0,155.0
"Casa Loma",96.0,"N/A",475.0,30.0,65.0,20.0,0.0,0.0,150.0,135.0
"Yonge-St.Clair",97.0,"N/A",615.0,40.0,35.0,20.0,120.0,20.0,170.0,65.0
"Rosedale-Moore Park",98.0,"N/A",740.0,65.0,15.0,135.0,25.0,30.0,175.0,125.0
"Mount Pleasant East",99.0,"N/A",585.0,30.0,20.0,80.0,25.0,50.0,155.0,75.0
