"Neighbourhood","Neighbourhood Id","Combined Indicators","Early Development Instrument","Library Program Attendance","Library Open Hours","Library Activity","Library Space","Catholic School Literacy","Catholic School Graduation","Catholic University Applicants","Library Programs"
"Dufferin Grove",83.0,"N/A","N/A",3.0,5.0,2.0,7.0,71.428573,0.744186,24.050632,3.0
"Little Portugal",84.0,"N/A","N/A",4.0,5.0,2.0,8.0,64.38356,0.592592,24.691358,4.0
"South Parkdale",85.0,"N/A","N/A",4.0,5.0,2.0,3.0,70.129867,0.8,38.46154,4.0
"Roncesvalles",86.0,"N/A","N/A",3.0,5.0,2.0,7.0,77.272727,0.705882,45.0,3.0
"High Park-Swansea",87.0,"N/A","N/A",2.0,4.0,2.0,2.0,87.719299,0.914893,61.016948,2.0
"High Park North",88.0,"N/A","N/A",2.0,4.0,2.0,2.0,76.666664,0.9375,51.282051,3.0
"Runnymede-Bloor West Village",89.0,"N/A","N/A",3.0,4.0,2.0,2.0,91.176467,0.962962,56.666667,3.0
"Junction Area",90.0,"N/A","N/A",2.0,4.0,1.0,2.0,76.25,0.839999,33.333332,3.0
"Weston-Pellam Park",91.0,"N/A","N/A",2.0,3.0,1.0,6.0,67.073173,0.744,14.438502,2.0
"Corso Italia-Davenport",92.0,"N/A","N/A",1.0,3.0,1.0,8.0,64.11483,0.837837,30.47619,2.0
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A","N/A",2.0,4.0,1.0,7.0,66.666664,0.709821,22.418878,2.0
"Wychwood",94.0,"N/A","N/A",2.0,4.0,1.0,7.0,67.391304,0.809523,27.777778,2.0
"Annex",95.0,"N/A","N/A",5.0,9.0,5.0,5.0,68.75,0.733333,29.166666,6.0
"Casa Loma",96.0,"N/A","N/A",3.0,5.0,2.0,2.0,100.0,0.833333,33.333332,3.0
"Yonge-St.Clair",97.0,"N/A","N/A",4.0,10.0,5.0,7.0,50.0,0.666666,0.0,5.0
"Rosedale-Moore Park",98.0,"N/A","N/A",4.0,9.0,4.0,5.0,62.5,0.666666,46.153846,4.0
"Mount Pleasant East",99.0,"N/A","N/A",4.0,9.0,5.0,7.0,90.0,0.923076,33.333332,4.0
"Yonge-Eglinton",100.0,"N/A","N/A",5.0,10.0,5.0,7.0,50.0,0.714285,42.857143,4.0
"Forest Hill South",101.0,"N/A","N/A",5.0,10.0,5.0,7.0,50.0,0.0,60.0,5.0
"Forest Hill North",102.0,"N/A","N/A",7.0,10.0,3.0,7.0,80.0,1.0,29.166666,7.0
"Lawrence Park South",103.0,"N/A","N/A",5.0,10.0,5.0,7.0,100.0,0.777777,54.545455,4.0
"Mount Pleasant West",104.0,"N/A","N/A",4.0,9.0,4.0,6.0,82.14286,0.842105,40.0,4.0
"Lawrence Park North",105.0,"N/A","N/A",5.0,9.0,5.0,7.0,96.428573,0.857142,75.862068,4.0
"Humewood-Cedarvale",106.0,"N/A","N/A",7.0,9.0,3.0,7.0,84.848487,0.899999,45.098037,7.0
"Oakwood Village",107.0,"N/A","N/A",6.0,9.0,3.0,7.0,72.330093,0.813008,30.601093,7.0
"Briar Hill-Belgravia",108.0,"N/A","N/A",6.0,9.0,3.0,7.0,71.830986,0.865979,32.121212,7.0
"Caledonia-Fairbank",109.0,"N/A","N/A",6.0,8.0,3.0,7.0,65.243904,0.804878,23.699422,7.0
"Keelesdale-Eglinton West",110.0,"N/A","N/A",6.0,9.0,3.0,6.0,67.53247,0.752475,17.021276,7.0
"Rockcliffe-Smythe",111.0,"N/A","N/A",3.0,4.0,1.0,2.0,68.446601,0.821839,28.806585,4.0
"Beechborough-Greenbrook",112.0,"N/A","N/A",3.0,4.0,1.0,3.0,59.322032,0.925,31.74603,4.0
"Weston",113.0,"N/A","N/A",2.0,4.0,1.0,3.0,61.654136,0.797619,33.858268,3.0
"Lambton Baby Point",114.0,"N/A","N/A",5.0,9.0,4.0,4.0,85.29412,0.759999,48.648647,7.0
"Mount Dennis",115.0,"N/A","N/A",3.0,4.0,1.0,3.0,63.809524,0.78125,26.923076,4.0
"Steeles",116.0,"N/A","N/A",2.0,4.0,2.0,2.0,91.025642,0.840425,63.380283,2.0
"L'Amoreaux",117.0,"N/A","N/A",6.0,9.0,8.0,8.0,85.074623,0.829015,43.554008,5.0
"Tam O'Shanter-Sullivan",118.0,"N/A","N/A",6.0,9.0,8.0,8.0,80.357139,0.88764,47.692306,7.0
"Wexford/Maryvale",119.0,"N/A","N/A",2.0,4.0,2.0,2.0,87.431694,0.860655,45.212764,2.0
"Clairlea-Birchmount",120.0,"N/A","N/A",4.0,9.0,4.0,6.0,86.861312,0.868421,40.0,5.0
"Oakridge",121.0,"N/A","N/A",5.0,9.0,4.0,6.0,69.014083,0.73913,32.894737,5.0
"Birchcliffe-Cliffside",122.0,"N/A","N/A",4.0,9.0,4.0,6.0,95.652175,0.797468,37.634407,5.0
"Cliffcrest",123.0,"N/A","N/A",1.0,3.0,1.0,2.0,84.848487,0.901098,48.245613,2.0
"Kennedy Park",124.0,"N/A","N/A",4.0,8.0,4.0,6.0,81.060607,0.853448,36.184211,5.0
"Ionview",125.0,"N/A","N/A",2.0,4.0,1.0,2.0,73.626373,0.788732,37.864078,2.0
"Dorset Park",126.0,"N/A","N/A",2.0,4.0,2.0,2.0,78.448272,0.824999,38.194442,2.0
"Bendale",127.0,"N/A","N/A",2.0,4.0,2.0,2.0,83.941604,0.824999,37.356323,3.0
"Agincourt South-Malvern West",128.0,"N/A","N/A",6.0,9.0,9.0,8.0,87.012985,0.818181,45.081966,7.0
"Agincourt North",129.0,"N/A","N/A",3.0,5.0,4.0,4.0,80.0,0.798507,50.877193,3.0
"Milliken",130.0,"N/A","N/A",2.0,5.0,3.0,3.0,82.692306,0.823008,52.666667,3.0
"Rouge",131.0,"N/A","N/A",2.0,4.0,2.0,2.0,79.629631,0.858433,45.127117,2.0
"Malvern",132.0,"N/A","N/A",7.0,9.0,6.0,8.0,73.198196,0.807162,32.8125,9.0
"Centennial Scarborough",133.0,"N/A","N/A",1.0,4.0,1.0,2.0,85.897438,0.932203,53.164558,2.0
"Highland Creek",134.0,"N/A","N/A",2.0,4.0,2.0,2.0,84.033615,0.954198,53.374233,2.0
"Morningside",135.0,"N/A","N/A",6.0,8.0,5.0,6.0,81.25,0.875,39.215686,6.0
"West Hill",136.0,"N/A","N/A",2.0,4.0,2.0,3.0,80.213905,0.86503,38.425926,2.0
"Woburn",137.0,"N/A","N/A",6.0,7.0,5.0,5.0,78.787879,0.829999,37.049179,6.0
"Eglinton East",138.0,"N/A","N/A",2.0,4.0,2.0,2.0,72.727272,0.833333,42.424243,3.0
"Scarborough Village",139.0,"N/A","N/A",5.0,7.0,4.0,5.0,76.190475,0.788461,32.258064,6.0
"Guildwood",140.0,"N/A","N/A",2.0,4.0,1.0,2.0,93.333335,0.894736,42.5,2.0
