"Neighbourhood","Neighbourhood Id","Combined Indicators","TCHC Facility Amenities","PFR Program Registrations","PFR Program Free Registrations","PFR Community Space Use","PFR Permits Issued","Sports Facilities"
"Blake-Jones",69.0,"N/A",2.0,0.0,0.0,0.0,111.0,17.0
"South Riverdale",70.0,"N/A",1.0,5027.0,4704.0,1176.0,3888.0,42.0
"Cabbagetown-South St.James Town",71.0,"N/A",3.0,1387.0,155.0,2.0,577.0,12.0
"Regent Park",72.0,"N/A",5.0,0.0,548.0,0.0,2.0,14.0
"Moss Park",73.0,"N/A",13.0,0.0,1680.0,434.0,598.0,13.0
"North St.James Town",74.0,"N/A",3.0,0.0,2845.0,0.0,2.0,6.0
"Church-Yonge Corridor",75.0,"N/A",2.0,0.0,0.0,0.0,472.0,13.0
"Bay Street Corridor",76.0,"N/A",3.0,0.0,0.0,0.0,104.0,1.0
"Waterfront Communities-The Island",77.0,"N/A",2.0,3487.0,217.0,1064.0,2458.0,17.0
"Kensington-Chinatown",78.0,"N/A",1.0,0.0,1524.0,0.0,26.0,18.0
"University",79.0,"N/A",2.0,0.0,0.0,0.0,38.0,11.0
"Palmerston-Little Italy",80.0,"N/A",0.0,4448.0,68.0,116.0,1747.0,39.0
"Trinity-Bellwoods",81.0,"N/A",0.0,5301.0,201.0,318.0,1262.0,21.0
"Niagara",82.0,"N/A",3.0,0.0,0.0,1.0,850.0,9.0
"Dufferin Grove",83.0,"N/A",0.0,0.0,0.0,0.0,843.0,22.0
"Little Portugal",84.0,"N/A",1.0,6626.0,107.0,93.0,139.0,15.0
"South Parkdale",85.0,"N/A",13.0,171.0,3170.0,2733.0,3651.0,15.0
"Roncesvalles",86.0,"N/A",4.0,4017.0,591.0,155.0,322.0,20.0
"High Park-Swansea",87.0,"N/A",2.0,3824.0,27.0,322.0,5838.0,24.0
"High Park North",88.0,"N/A",1.0,3795.0,30.0,18.0,829.0,38.0
