"Neighbourhood","Neighbourhood Id","Combined Indicators","Social Assistance Recipients","Local Employment","Businesses","Business Licensing","Child Care Spaces","Inequality (Gini coeff.)","Access to Child Care","Low Income Families","Low Income Singles","Low Income Children","Family Income Category","Household Income Category"
"Little Portugal",84.0,"N/A",889.0,2705.0,340.0,198.0,55.0,0.41714,0.084444,2990.0,1390.0,228.0,2990.0,4830.0
"South Parkdale",85.0,"N/A",5463.0,7437.0,506.0,202.0,72.0,0.422369,0.234043,4710.0,3501.0,670.0,4710.0,9940.0
"Roncesvalles",86.0,"N/A",2028.0,3066.0,570.0,252.0,120.0,0.440189,0.278261,3730.0,1584.0,224.0,3720.0,6460.0
"High Park-Swansea",87.0,"N/A",752.0,6394.0,465.0,212.0,202.0,0.380769,0.220513,5250.0,1428.0,159.0,5245.0,9015.0
"High Park North",88.0,"N/A",1014.0,2291.0,274.0,111.0,226.0,0.409819,0.3125,5365.0,1589.0,157.0,5370.0,10340.0
"Runnymede-Bloor West Village",89.0,"N/A",241.0,2430.0,332.0,79.0,175.0,0.358119,0.369231,2735.0,392.0,60.0,2735.0,3765.0
"Junction Area",90.0,"N/A",1194.0,6331.0,561.0,271.0,30.0,0.40801,0.195349,3355.0,1150.0,235.0,3350.0,5285.0
"Weston-Pellam Park",91.0,"N/A",1681.0,1323.0,185.0,144.0,54.0,0.43968,0.323404,3105.0,881.0,231.0,3105.0,4300.0
"Corso Italia-Davenport",92.0,"N/A",1513.0,2030.0,415.0,222.0,100.0,0.39199,0.305263,3865.0,809.0,282.0,3865.0,5170.0
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",3733.0,5412.0,863.0,433.0,159.0,0.413899,0.290226,8800.0,3092.0,631.0,8800.0,13335.0
"Wychwood",94.0,"N/A",925.0,4684.0,400.0,204.0,54.0,0.41457,0.303226,3415.0,1324.0,149.0,3410.0,5880.0
"Annex",95.0,"N/A",1074.0,25267.0,2322.0,573.0,199.0,0.424199,0.258537,5905.0,3705.0,250.0,5910.0,14740.0
"Casa Loma",96.0,"N/A",164.0,3111.0,284.0,53.0,142.0,0.33989,0.226667,2500.0,876.0,61.0,2505.0,4945.0
"Yonge-St.Clair",97.0,"N/A",240.0,7295.0,511.0,70.0,20.0,0.36421,0.133333,2850.0,846.0,70.0,2860.0,6540.0
"Rosedale-Moore Park",98.0,"N/A",255.0,16637.0,674.0,122.0,144.0,0.298009,0.16,5195.0,971.0,91.0,5185.0,9935.0
"Mount Pleasant East",99.0,"N/A",263.0,5974.0,470.0,118.0,66.0,0.352039,0.307692,4095.0,898.0,60.0,4095.0,7180.0
"Yonge-Eglinton",100.0,"N/A",156.0,11435.0,645.0,256.0,45.0,0.35052,0.28,2710.0,698.0,0.0,2710.0,5230.0
"Forest Hill South",101.0,"N/A",162.0,2361.0,169.0,45.0,30.0,0.333299,0.14,2620.0,607.0,0.0,2615.0,4770.0
"Forest Hill North",102.0,"N/A",663.0,924.0,154.0,78.0,105.0,0.401069,0.316129,3225.0,906.0,151.0,3225.0,5375.0
"Lawrence Park South",103.0,"N/A",140.0,1555.0,162.0,103.0,140.0,0.25738,0.333333,4000.0,559.0,0.0,4010.0,5565.0
"Mount Pleasant West",104.0,"N/A",1041.0,13194.0,1104.0,200.0,222.0,0.395469,0.24186,5020.0,2987.0,214.0,5020.0,14745.0
"Lawrence Park North",105.0,"N/A",134.0,3435.0,374.0,107.0,195.0,0.292459,0.266667,3870.0,515.0,23.0,3860.0,5440.0
"Humewood-Cedarvale",106.0,"N/A",690.0,1254.0,137.0,68.0,114.0,0.41525,0.245161,3455.0,1341.0,155.0,3450.0,6350.0
"Oakwood Village",107.0,"N/A",2501.0,1721.0,252.0,115.0,180.0,0.409909,0.324675,5755.0,1717.0,385.0,5750.0,8655.0
"Briar Hill-Belgravia",108.0,"N/A",1495.0,3266.0,467.0,252.0,25.0,0.406879,0.434146,3825.0,1120.0,204.0,3825.0,5680.0
"Caledonia-Fairbank",109.0,"N/A",1216.0,1101.0,96.0,82.0,45.0,0.37612,0.263158,2760.0,507.0,186.0,2760.0,3540.0
"Keelesdale-Eglinton West",110.0,"N/A",1221.0,1512.0,275.0,181.0,25.0,0.39449,0.290909,3030.0,657.0,179.0,3025.0,4105.0
"Rockcliffe-Smythe",111.0,"N/A",3166.0,3126.0,285.0,166.0,121.0,0.416779,0.33271,5870.0,1931.0,515.0,5870.0,8775.0
"Beechborough-Greenbrook",112.0,"N/A",1383.0,2470.0,142.0,37.0,22.0,0.41319,0.321739,1775.0,451.0,221.0,1775.0,2510.0
"Weston",113.0,"N/A",3817.0,4463.0,505.0,274.0,147.0,0.44163,0.26625,4195.0,1666.0,728.0,4190.0,7000.0
"Lambton Baby Point",114.0,"N/A",796.0,391.0,64.0,54.0,15.0,0.394639,0.184211,2220.0,377.0,158.0,2220.0,3150.0
"Mount Dennis",115.0,"N/A",2897.0,2141.0,172.0,89.0,85.0,0.39309,0.406186,3345.0,819.0,457.0,3340.0,4585.0
"Steeles",116.0,"N/A",1007.0,5870.0,257.0,160.0,90.0,0.37505,0.330435,6670.0,944.0,347.0,6675.0,7560.0
"L'Amoreaux",117.0,"N/A",3558.0,4766.0,479.0,257.0,75.0,0.39925,0.283077,12310.0,2038.0,965.0,12320.0,15075.0
"Tam O'Shanter-Sullivan",118.0,"N/A",1812.0,3761.0,343.0,199.0,175.0,0.394939,0.316667,7495.0,1125.0,517.0,7495.0,9490.0
"Wexford/Maryvale",119.0,"N/A",2993.0,17014.0,961.0,348.0,110.0,0.376069,0.272,7180.0,1322.0,603.0,7180.0,9880.0
"Clairlea-Birchmount",120.0,"N/A",2392.0,14859.0,817.0,444.0,84.0,0.390859,0.232479,5375.0,861.0,435.0,5375.0,7125.0
"Oakridge",121.0,"N/A",3015.0,1549.0,192.0,138.0,54.0,0.45544,0.2,3360.0,1308.0,826.0,3360.0,5165.0
"Birchcliffe-Cliffside",122.0,"N/A",1640.0,3155.0,350.0,197.0,101.0,0.39302,0.276596,5855.0,1324.0,261.0,5855.0,9055.0
"Cliffcrest",123.0,"N/A",1140.0,2182.0,214.0,105.0,55.0,0.388799,0.404651,4055.0,730.0,164.0,4060.0,5475.0
"Kennedy Park",124.0,"N/A",2528.0,1614.0,259.0,178.0,75.0,0.416729,0.266667,4450.0,1314.0,575.0,4455.0,6405.0
"Ionview",125.0,"N/A",1673.0,1072.0,148.0,60.0,42.0,0.386249,0.279452,3550.0,735.0,376.0,3550.0,4950.0
"Dorset Park",126.0,"N/A",2300.0,13999.0,922.0,308.0,47.0,0.37913,0.222989,6335.0,1076.0,868.0,6335.0,8315.0
"Bendale",127.0,"N/A",2235.0,17290.0,825.0,253.0,150.0,0.380939,0.24918,6810.0,1064.0,615.0,6815.0,9060.0
"Agincourt South-Malvern West",128.0,"N/A",1277.0,17886.0,1399.0,428.0,120.0,0.380019,0.29011,5775.0,860.0,476.0,5770.0,6730.0
"Agincourt North",129.0,"N/A",1563.0,7542.0,295.0,188.0,115.0,0.36607,0.271154,7830.0,1037.0,529.0,7830.0,8710.0
"Milliken",130.0,"N/A",1348.0,16704.0,1871.0,408.0,179.0,0.372999,0.283517,6765.0,1031.0,445.0,6760.0,7370.0
