"Neighbourhood","Neighbourhood Id","Combined Indicators","   In Labour Force","   Unemployed","   Not in Labour Force","Less than grade 9","With College Certificate/Diploma","With Bachelor Degree or Higher"
"Steeles",116.0,"N/A",12115.0,1355.0,9565.0,4545.0,3045.0,1495.0
"L'Amoreaux",117.0,"N/A",21770.0,2315.0,16130.0,8430.0,5525.0,2550.0
"Tam O'Shanter-Sullivan",118.0,"N/A",12580.0,1240.0,10250.0,4165.0,3690.0,1425.0
"Wexford/Maryvale",119.0,"N/A",13915.0,1400.0,8500.0,4790.0,3620.0,1230.0
"Clairlea-Birchmount",120.0,"N/A",12970.0,1255.0,6975.0,3795.0,3555.0,950.0
"Oakridge",121.0,"N/A",6040.0,1040.0,4370.0,2330.0,1690.0,490.0
"Birchcliffe-Cliffside",122.0,"N/A",12215.0,1295.0,5875.0,3120.0,3485.0,760.0
"Cliffcrest",123.0,"N/A",7905.0,720.0,4980.0,2380.0,2095.0,910.0
"Kennedy Park",124.0,"N/A",7855.0,935.0,6150.0,3100.0,2580.0,575.0
"Ionview",125.0,"N/A",6645.0,885.0,4250.0,2430.0,1780.0,660.0
"Dorset Park",126.0,"N/A",12095.0,1375.0,7390.0,4045.0,3075.0,1245.0
"Bendale",127.0,"N/A",13605.0,1430.0,9145.0,4455.0,3845.0,1520.0
"Agincourt South-Malvern West",128.0,"N/A",11030.0,1175.0,7565.0,4065.0,2730.0,1150.0
"Agincourt North",129.0,"N/A",14920.0,1685.0,10845.0,5965.0,3465.0,1805.0
"Milliken",130.0,"N/A",13560.0,1445.0,9285.0,5675.0,3000.0,1550.0
"Rouge",131.0,"N/A",25100.0,2475.0,11915.0,5675.0,7380.0,2495.0
"Malvern",132.0,"N/A",22320.0,2905.0,13305.0,7380.0,6360.0,2115.0
"Centennial Scarborough",133.0,"N/A",7455.0,585.0,3475.0,1135.0,2180.0,685.0
"Highland Creek",134.0,"N/A",7350.0,645.0,3825.0,1295.0,2030.0,1025.0
"Morningside",135.0,"N/A",8715.0,1110.0,5500.0,2405.0,2680.0,680.0
"West Hill",136.0,"N/A",12440.0,1675.0,9005.0,4285.0,4125.0,1100.0
"Woburn",137.0,"N/A",24980.0,3310.0,17755.0,9140.0,7100.0,2555.0
"Eglinton East",138.0,"N/A",10505.0,1490.0,7425.0,3975.0,3130.0,930.0
"Scarborough Village",139.0,"N/A",7405.0,1035.0,5405.0,2830.0,1785.0,735.0
"Guildwood",140.0,"N/A",4975.0,325.0,3365.0,1050.0,1755.0,390.0
