"Neighbourhood","Neighbourhood Id","Combined Indicators","Assaults","Sexual Assaults","Break & Enters","Robberies","Vehicle Thefts","Thefts","Murders","Arsons","Fires & Fire Alarms","Fire Vehicle Incidents","Hazardous Incidents","Fire Medical Calls"
"Trinity-Bellwoods",81.0,"N/A",132.0,13.0,67.0,29.0,15.0,9.0,0.0,2.0,223.0,94.0,110.0,480.0
"Niagara",82.0,"N/A",261.0,21.0,69.0,29.0,24.0,17.0,0.0,1.0,480.0,131.0,119.0,427.0
"Dufferin Grove",83.0,"N/A",94.0,9.0,28.0,33.0,12.0,8.0,0.0,1.0,121.0,31.0,62.0,204.0
"Little Portugal",84.0,"N/A",85.0,10.0,42.0,14.0,14.0,5.0,1.0,2.0,201.0,57.0,86.0,295.0
"South Parkdale",85.0,"N/A",205.0,31.0,45.0,24.0,13.0,6.0,0.0,1.0,431.0,199.0,132.0,682.0
"Roncesvalles",86.0,"N/A",75.0,17.0,37.0,19.0,11.0,2.0,0.0,5.0,247.0,40.0,88.0,352.0
"High Park-Swansea",87.0,"N/A",98.0,15.0,47.0,30.0,20.0,8.0,0.0,3.0,262.0,85.0,121.0,446.0
"High Park North",88.0,"N/A",80.0,10.0,17.0,13.0,8.0,5.0,1.0,0.0,161.0,33.0,87.0,322.0
"Runnymede-Bloor West Village",89.0,"N/A",28.0,6.0,23.0,14.0,17.0,2.0,0.0,0.0,55.0,11.0,36.0,136.0
"Junction Area",90.0,"N/A",102.0,13.0,37.0,16.0,22.0,4.0,1.0,2.0,181.0,57.0,88.0,283.0
"Weston-Pellam Park",91.0,"N/A",92.0,11.0,26.0,10.0,22.0,5.0,1.0,2.0,132.0,27.0,73.0,202.0
"Corso Italia-Davenport",92.0,"N/A",75.0,15.0,29.0,18.0,15.0,2.0,0.0,1.0,102.0,49.0,61.0,263.0
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",207.0,27.0,74.0,58.0,25.0,10.0,2.0,2.0,373.0,141.0,205.0,676.0
"Wychwood",94.0,"N/A",57.0,13.0,32.0,19.0,5.0,3.0,0.0,1.0,181.0,49.0,78.0,388.0
