"Neighbourhood","Neighbourhood Id","Combined Indicators","PFR Program Registrations","PFR Program Free Registrations","PFR Community Space Use","PFR Permits Issued"
"Little Portugal",84.0,"N/A",4166.0,0.0,269.0,181.0
"South Parkdale",85.0,"N/A",286.0,5132.0,2980.0,1342.0
"Roncesvalles",86.0,"N/A",3353.0,501.0,548.0,343.0
"High Park-Swansea",87.0,"N/A",5240.0,36.0,110.0,5245.0
"High Park North",88.0,"N/A",7803.0,60.0,72.0,594.0
"Runnymede-Bloor West Village",89.0,"N/A",2357.0,0.0,0.0,15.0
"Junction Area",90.0,"N/A",0.0,0.0,0.0,508.0
"Weston-Pellam Park",91.0,"N/A",0.0,0.0,0.0,90.0
"Corso Italia-Davenport",92.0,"N/A",8519.0,69.0,223.0,1517.0
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",4770.0,0.0,48.0,1813.0
"Wychwood",94.0,"N/A",0.0,0.0,0.0,1159.0
"Annex",95.0,"N/A",165.0,2.0,0.0,220.0
"Casa Loma",96.0,"N/A",3749.0,48.0,2.0,2551.0
"Yonge-St.Clair",97.0,"N/A",0.0,0.0,0.0,3.0
"Rosedale-Moore Park",98.0,"N/A",0.0,0.0,0.0,3558.0
"Mount Pleasant East",99.0,"N/A",1351.0,4.0,0.0,92.0
"Yonge-Eglinton",100.0,"N/A",7759.0,22.0,390.0,1117.0
"Forest Hill South",101.0,"N/A",0.0,0.0,0.0,5.0
"Forest Hill North",102.0,"N/A",0.0,0.0,0.0,337.0
"Lawrence Park South",103.0,"N/A",0.0,0.0,0.0,2464.0
"Mount Pleasant West",104.0,"N/A",303.0,0.0,0.0,1765.0
"Lawrence Park North",105.0,"N/A",2315.0,0.0,0.0,1484.0
"Humewood-Cedarvale",106.0,"N/A",829.0,1.0,0.0,1316.0
"Oakwood Village",107.0,"N/A",3972.0,0.0,1292.0,1070.0
"Briar Hill-Belgravia",108.0,"N/A",0.0,0.0,0.0,310.0
"Caledonia-Fairbank",109.0,"N/A",20.0,0.0,0.0,97.0
"Keelesdale-Eglinton West",110.0,"N/A",0.0,0.0,0.0,400.0
"Rockcliffe-Smythe",111.0,"N/A",362.0,20.0,394.0,1052.0
"Beechborough-Greenbrook",112.0,"N/A",4167.0,112.0,43.0,304.0
"Weston",113.0,"N/A",1869.0,1.0,0.0,1672.0
"Lambton Baby Point",114.0,"N/A",572.0,0.0,1.0,1880.0
"Mount Dennis",115.0,"N/A",918.0,161.0,1.0,1345.0
"Steeles",116.0,"N/A",3383.0,2612.0,1424.0,836.0
"L'Amoreaux",117.0,"N/A",4014.0,72.0,0.0,3971.0
"Tam O'Shanter-Sullivan",118.0,"N/A",3567.0,3224.0,835.0,5008.0
"Wexford/Maryvale",119.0,"N/A",6697.0,230.0,1058.0,3580.0
"Clairlea-Birchmount",120.0,"N/A",3871.0,178.0,224.0,571.0
"Oakridge",121.0,"N/A",0.0,3726.0,269.0,2.0
"Birchcliffe-Cliffside",122.0,"N/A",4842.0,0.0,1569.0,2636.0
"Cliffcrest",123.0,"N/A",0.0,0.0,0.0,1594.0
"Kennedy Park",124.0,"N/A",3774.0,1739.0,1396.0,2174.0
"Ionview",125.0,"N/A",53.0,0.0,168.0,370.0
"Dorset Park",126.0,"N/A",3131.0,647.0,597.0,920.0
"Bendale",127.0,"N/A",3598.0,348.0,464.0,1707.0
"Agincourt South-Malvern West",128.0,"N/A",11061.0,21.0,1227.0,3115.0
"Agincourt North",129.0,"N/A",4438.0,0.0,424.0,2735.0
"Milliken",130.0,"N/A",3244.0,265.0,1709.0,907.0
"Rouge",131.0,"N/A",1699.0,1.0,231.0,1224.0
"Malvern",132.0,"N/A",7950.0,2804.0,2484.0,4328.0
"Centennial Scarborough",133.0,"N/A",4091.0,6.0,517.0,1947.0
"Highland Creek",134.0,"N/A",2202.0,4.0,0.0,275.0
"Morningside",135.0,"N/A",870.0,11.0,186.0,2256.0
"West Hill",136.0,"N/A",4573.0,1087.0,195.0,4221.0
"Woburn",137.0,"N/A",9903.0,3388.0,1217.0,3467.0
"Eglinton East",138.0,"N/A",295.0,0.0,0.0,290.0
"Scarborough Village",139.0,"N/A",2229.0,1083.0,771.0,781.0
"Guildwood",140.0,"N/A",961.0,0.0,0.0,1557.0
