"Neighbourhood","Neighbourhood Id","Combined Indicators","Part-Time Employment","Low Income Families","Low Income Population","Low Income Children (Age 0-17)","Low Income Older Adults (Age 65+)","Low Income Lone Parent Families","Lone Parent Families","Low Income Lone Parent Families Pop","Lone Parent Families Population"
"Willowdale East",51.0,"N/A",2784.0,6260.0,13330.0,2250.0,790.0,490.0,1430.0,1170.0,3370.0
"Bayview Village",52.0,"N/A",4173.0,2090.0,4250.0,860.0,330.0,210.0,670.0,570.0,1650.0
"Henry Farm",53.0,"N/A",3148.0,2060.0,4220.0,870.0,190.0,170.0,460.0,450.0,1140.0
"O'Connor-Parkview",54.0,"N/A",998.0,2000.0,3910.0,1170.0,160.0,410.0,1080.0,1070.0,2670.0
"Thorncliffe Park",55.0,"N/A",3016.0,3030.0,8700.0,3370.0,250.0,290.0,700.0,750.0,1780.0
"Leaside-Bennington",56.0,"N/A",1301.0,590.0,930.0,180.0,40.0,50.0,490.0,170.0,1180.0
"Broadview North",57.0,"N/A",646.0,1250.0,2150.0,500.0,110.0,200.0,590.0,480.0,1380.0
"Old East York",58.0,"N/A",341.0,630.0,1120.0,280.0,60.0,110.0,410.0,260.0,940.0
"Danforth-East York",59.0,"N/A",1599.0,1250.0,2340.0,590.0,150.0,240.0,760.0,590.0,1770.0
"Woodbine-Lumsden",60.0,"N/A",165.0,660.0,1100.0,240.0,70.0,120.0,410.0,290.0,990.0
"Taylor-Massey",61.0,"N/A",715.0,2350.0,5180.0,1560.0,150.0,330.0,750.0,820.0,1850.0
"East End-Danforth",62.0,"N/A",1576.0,2030.0,3520.0,900.0,120.0,360.0,1050.0,890.0,2600.0
"The Beaches",63.0,"N/A",1868.0,1150.0,1760.0,370.0,60.0,170.0,720.0,420.0,1700.0
"Woodbine Corridor",64.0,"N/A",455.0,1060.0,1770.0,450.0,50.0,210.0,560.0,510.0,1370.0
"Greenwood-Coxwell",65.0,"N/A",688.0,1610.0,2920.0,740.0,170.0,260.0,720.0,680.0,1710.0
"Danforth",66.0,"N/A",662.0,840.0,1400.0,320.0,130.0,90.0,360.0,230.0,860.0
"Playter Estates-Danforth",67.0,"N/A",915.0,570.0,870.0,150.0,50.0,60.0,230.0,140.0,550.0
"North Riverdale",68.0,"N/A",1696.0,870.0,1380.0,250.0,90.0,100.0,420.0,260.0,1000.0
"Blake-Jones",69.0,"N/A",337.0,990.0,2040.0,670.0,60.0,220.0,450.0,630.0,1210.0
"South Riverdale",70.0,"N/A",3865.0,3060.0,5440.0,1280.0,260.0,520.0,1270.0,1370.0,3140.0
"Cabbagetown-South St.James Town",71.0,"N/A",999.0,1390.0,1880.0,230.0,130.0,110.0,370.0,280.0,870.0
"Regent Park",72.0,"N/A",639.0,2360.0,5150.0,1750.0,110.0,420.0,710.0,1210.0,2010.0
"Moss Park",73.0,"N/A",4090.0,3540.0,5120.0,940.0,170.0,370.0,680.0,1000.0,1760.0
"North St.James Town",74.0,"N/A",1263.0,3450.0,5860.0,1300.0,190.0,390.0,870.0,1010.0,2130.0
"Church-Yonge Corridor",75.0,"N/A",11048.0,3860.0,5160.0,490.0,240.0,220.0,720.0,550.0,1670.0
"Bay Street Corridor",76.0,"N/A",27819.0,10050.0,12820.0,1020.0,840.0,450.0,820.0,1060.0,1920.0
"Waterfront Communities-The Island",77.0,"N/A",21274.0,4480.0,6990.0,1070.0,300.0,410.0,1410.0,1040.0,3320.0
"Kensington-Chinatown",78.0,"N/A",8166.0,3690.0,6070.0,970.0,340.0,410.0,860.0,1040.0,2210.0
"University",79.0,"N/A",2439.0,1180.0,1530.0,110.0,20.0,40.0,170.0,110.0,380.0
"Palmerston-Little Italy",80.0,"N/A",1443.0,1280.0,1810.0,240.0,120.0,110.0,420.0,240.0,980.0
"Trinity-Bellwoods",81.0,"N/A",1951.0,1990.0,3220.0,490.0,180.0,160.0,600.0,380.0,1400.0
"Niagara",82.0,"N/A",4758.0,1730.0,2580.0,440.0,90.0,230.0,670.0,570.0,1550.0
"Dufferin Grove",83.0,"N/A",1685.0,1310.0,2140.0,400.0,80.0,130.0,440.0,330.0,1050.0
"Little Portugal",84.0,"N/A",1127.0,1300.0,2030.0,390.0,130.0,200.0,560.0,470.0,1340.0
"South Parkdale",85.0,"N/A",1520.0,3640.0,5660.0,1060.0,200.0,440.0,970.0,1100.0,2420.0
"Roncesvalles",86.0,"N/A",1301.0,1680.0,2640.0,510.0,180.0,170.0,550.0,430.0,1330.0
"High Park-Swansea",87.0,"N/A",2658.0,1350.0,2290.0,560.0,120.0,210.0,770.0,590.0,1890.0
"High Park North",88.0,"N/A",892.0,1810.0,2940.0,530.0,160.0,190.0,770.0,490.0,1770.0
"Runnymede-Bloor West Village",89.0,"N/A",924.0,410.0,720.0,170.0,40.0,60.0,320.0,150.0,790.0
"Junction Area",90.0,"N/A",2420.0,1350.0,2190.0,480.0,80.0,220.0,650.0,560.0,1590.0
"Weston-Pellam Park",91.0,"N/A",457.0,1530.0,2810.0,800.0,120.0,310.0,790.0,870.0,2040.0
"Corso Italia-Davenport",92.0,"N/A",584.0,1210.0,2120.0,500.0,100.0,240.0,720.0,590.0,1680.0
