"Neighbourhood","Neighbourhood Id","Combined Indicators","Mobility Category","   Non-Movers","   Movers"
"Corso Italia-Davenport",92.0,"N/A",12830.0,8655.0,4170.0
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",32715.0,19305.0,13405.0
"Wychwood",94.0,"N/A",12055.0,7365.0,4690.0
"Annex",95.0,"N/A",26410.0,12275.0,14140.0
"Casa Loma",96.0,"N/A",10035.0,4990.0,5045.0
"Yonge-St.Clair",97.0,"N/A",11160.0,5160.0,5995.0
"Rosedale-Moore Park",98.0,"N/A",19465.0,11570.0,7895.0
"Mount Pleasant East",99.0,"N/A",14865.0,8535.0,6330.0
"Yonge-Eglinton",100.0,"N/A",9935.0,5285.0,4655.0
"Forest Hill South",101.0,"N/A",10195.0,6335.0,3860.0
"Forest Hill North",102.0,"N/A",11600.0,6540.0,5060.0
"Lawrence Park South",103.0,"N/A",14270.0,9625.0,4645.0
"Mount Pleasant West",104.0,"N/A",27090.0,9325.0,17770.0
"Lawrence Park North",105.0,"N/A",13285.0,9060.0,4220.0
"Humewood-Cedarvale",106.0,"N/A",13245.0,7405.0,5835.0
"Oakwood Village",107.0,"N/A",19745.0,12055.0,7695.0
"Briar Hill-Belgravia",108.0,"N/A",13600.0,7560.0,6040.0
"Caledonia-Fairbank",109.0,"N/A",9355.0,6080.0,3270.0
"Keelesdale-Eglinton West",110.0,"N/A",10000.0,6440.0,3565.0
"Rockcliffe-Smythe",111.0,"N/A",20975.0,13675.0,7300.0
"Beechborough-Greenbrook",112.0,"N/A",6000.0,3975.0,2020.0
"Weston",113.0,"N/A",16620.0,9215.0,7400.0
"Lambton Baby Point",114.0,"N/A",7265.0,4930.0,2335.0
"Mount Dennis",115.0,"N/A",12040.0,7165.0,4875.0
"Steeles",116.0,"N/A",23750.0,15575.0,8180.0
"L'Amoreaux",117.0,"N/A",42340.0,27045.0,15300.0
"Tam O'Shanter-Sullivan",118.0,"N/A",25560.0,15170.0,10395.0
"Wexford/Maryvale",119.0,"N/A",25290.0,16920.0,8370.0
"Clairlea-Birchmount",120.0,"N/A",22605.0,12390.0,10220.0
"Oakridge",121.0,"N/A",12215.0,6310.0,5905.0
"Birchcliffe-Cliffside",122.0,"N/A",20240.0,13855.0,6390.0
"Cliffcrest",123.0,"N/A",14730.0,9805.0,4925.0
"Kennedy Park",124.0,"N/A",15980.0,10180.0,5805.0
"Ionview",125.0,"N/A",12280.0,6965.0,5315.0
"Dorset Park",126.0,"N/A",22290.0,13705.0,8585.0
"Bendale",127.0,"N/A",25655.0,14790.0,10870.0
"Agincourt South-Malvern West",128.0,"N/A",20725.0,12880.0,7850.0
"Agincourt North",129.0,"N/A",28615.0,18750.0,9860.0
"Milliken",130.0,"N/A",25395.0,17095.0,8305.0
"Rouge",131.0,"N/A",42920.0,29645.0,13280.0
"Malvern",132.0,"N/A",42005.0,26970.0,15035.0
"Centennial Scarborough",133.0,"N/A",12440.0,8900.0,3540.0
"Highland Creek",134.0,"N/A",12420.0,9510.0,2910.0
"Morningside",135.0,"N/A",16250.0,10445.0,5810.0
"West Hill",136.0,"N/A",24780.0,16090.0,8685.0
"Woburn",137.0,"N/A",49495.0,29770.0,19725.0
"Eglinton East",138.0,"N/A",20960.0,12430.0,8530.0
"Scarborough Village",139.0,"N/A",15095.0,8530.0,6565.0
"Guildwood",140.0,"N/A",9235.0,6705.0,2530.0
