"Neighbourhood","Neighbourhood Id","Combined Indicators","Road Kilometres","Road Volume","TTC Stops","Pedestrian/Other Collisions","TTC Overcrowded Routes"
"North St.James Town",74.0,"N/A",5.0,2378.0,15.0,59.0,"N/A"
"Church-Yonge Corridor",75.0,"N/A",23.0,4184.0,62.0,417.0,"N/A"
"Bay Street Corridor",76.0,"N/A",26.0,4701.0,103.0,728.0,"N/A"
"Waterfront Communities-The Island",77.0,"N/A",64.0,5772.0,111.0,767.0,"N/A"
"Kensington-Chinatown",78.0,"N/A",21.0,4153.0,44.0,266.0,"N/A"
"University",79.0,"N/A",0.0,0.0,39.0,153.0,"N/A"
"Palmerston-Little Italy",80.0,"N/A",19.0,2292.0,41.0,138.0,"N/A"
"Trinity-Bellwoods",81.0,"N/A",27.0,4140.0,40.0,200.0,"N/A"
"Niagara",82.0,"N/A",20.0,5348.0,63.0,252.0,"N/A"
"Dufferin Grove",83.0,"N/A",16.0,3287.0,34.0,195.0,"N/A"
"Little Portugal",84.0,"N/A",17.0,6816.0,35.0,123.0,"N/A"
"South Parkdale",85.0,"N/A",25.0,6156.0,44.0,184.0,"N/A"
"Roncesvalles",86.0,"N/A",19.0,4172.0,35.0,96.0,"N/A"
"High Park-Swansea",87.0,"N/A",48.0,4832.0,91.0,145.0,"N/A"
"High Park North",88.0,"N/A",24.0,2299.0,40.0,64.0,"N/A"
"Runnymede-Bloor West Village",89.0,"N/A",20.0,2668.0,42.0,87.0,"N/A"
"Junction Area",90.0,"N/A",27.0,5994.0,77.0,180.0,"N/A"
"Weston-Pellam Park",91.0,"N/A",17.0,2897.0,25.0,88.0,"N/A"
"Corso Italia-Davenport",92.0,"N/A",22.0,3833.0,49.0,86.0,"N/A"
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",48.0,3898.0,107.0,245.0,"N/A"
"Wychwood",94.0,"N/A",22.0,3112.0,51.0,115.0,"N/A"
"Annex",95.0,"N/A",39.0,5810.0,86.0,347.0,"N/A"
"Casa Loma",96.0,"N/A",23.0,3816.0,45.0,76.0,"N/A"
"Yonge-St.Clair",97.0,"N/A",13.0,7116.0,23.0,50.0,"N/A"
"Rosedale-Moore Park",98.0,"N/A",48.0,3647.0,72.0,150.0,"N/A"
"Mount Pleasant East",99.0,"N/A",28.0,5381.0,52.0,108.0,"N/A"
"Yonge-Eglinton",100.0,"N/A",22.0,5391.0,43.0,149.0,"N/A"
"Forest Hill South",101.0,"N/A",30.0,5855.0,35.0,54.0,"N/A"
"Forest Hill North",102.0,"N/A",20.0,5873.0,30.0,57.0,"N/A"
"Lawrence Park South",103.0,"N/A",40.0,4398.0,45.0,80.0,"N/A"
"Mount Pleasant West",104.0,"N/A",16.0,5828.0,42.0,149.0,"N/A"
"Lawrence Park North",105.0,"N/A",30.0,4704.0,37.0,67.0,"N/A"
"Humewood-Cedarvale",106.0,"N/A",23.0,3941.0,26.0,55.0,"N/A"
"Oakwood Village",107.0,"N/A",33.0,4504.0,47.0,76.0,"N/A"
"Briar Hill-Belgravia",108.0,"N/A",22.0,11837.0,31.0,106.0,"N/A"
"Caledonia-Fairbank",109.0,"N/A",19.0,5796.0,35.0,59.0,"N/A"
"Keelesdale-Eglinton West",110.0,"N/A",22.0,2187.0,33.0,100.0,"N/A"
"Rockcliffe-Smythe",111.0,"N/A",43.0,5589.0,104.0,136.0,"N/A"
"Beechborough-Greenbrook",112.0,"N/A",16.0,5102.0,26.0,79.0,"N/A"
"Weston",113.0,"N/A",29.0,4369.0,70.0,182.0,"N/A"
"Lambton Baby Point",114.0,"N/A",19.0,2338.0,24.0,28.0,"N/A"
"Mount Dennis",115.0,"N/A",18.0,13492.0,42.0,68.0,"N/A"
"Steeles",116.0,"N/A",46.0,3711.0,87.0,128.0,"N/A"
"L'Amoreaux",117.0,"N/A",67.0,2483.0,118.0,397.0,"N/A"
"Tam O'Shanter-Sullivan",118.0,"N/A",51.0,2522.0,73.0,415.0,"N/A"
"Wexford/Maryvale",119.0,"N/A",87.0,3539.0,161.0,697.0,"N/A"
"Clairlea-Birchmount",120.0,"N/A",64.0,3601.0,130.0,540.0,"N/A"
"Oakridge",121.0,"N/A",19.0,3205.0,46.0,109.0,"N/A"
"Birchcliffe-Cliffside",122.0,"N/A",64.0,2636.0,96.0,133.0,"N/A"
"Cliffcrest",123.0,"N/A",51.0,3780.0,67.0,130.0,"N/A"
"Kennedy Park",124.0,"N/A",31.0,2877.0,63.0,181.0,"N/A"
"Ionview",125.0,"N/A",17.0,2664.0,25.0,163.0,"N/A"
"Dorset Park",126.0,"N/A",39.0,3959.0,78.0,552.0,"N/A"
"Bendale",127.0,"N/A",63.0,4499.0,103.0,933.0,"N/A"
"Agincourt South-Malvern West",128.0,"N/A",56.0,3773.0,121.0,501.0,"N/A"
"Agincourt North",129.0,"N/A",57.0,3584.0,90.0,222.0,"N/A"
"Milliken",130.0,"N/A",67.0,3918.0,158.0,541.0,"N/A"
"Rouge",131.0,"N/A",116.0,4301.0,188.0,288.0,"N/A"
"Malvern",132.0,"N/A",75.0,3767.0,181.0,411.0,"N/A"
"Centennial Scarborough",133.0,"N/A",46.0,2995.0,46.0,77.0,"N/A"
"Highland Creek",134.0,"N/A",38.0,3517.0,63.0,76.0,"N/A"
"Morningside",135.0,"N/A",32.0,4873.0,31.0,174.0,"N/A"
"West Hill",136.0,"N/A",61.0,3824.0,76.0,251.0,"N/A"
"Woburn",137.0,"N/A",103.0,4657.0,138.0,809.0,"N/A"
"Eglinton East",138.0,"N/A",29.0,3086.0,52.0,283.0,"N/A"
"Scarborough Village",139.0,"N/A",23.0,2112.0,29.0,159.0,"N/A"
"Guildwood",140.0,"N/A",31.0,2115.0,29.0,46.0,"N/A"
